"3","2020/07/30",1.17864,1.18482,1.17304,1.18477
"3","2020/07/29",1.17118,1.18060,1.17116,1.17921
"3","2020/07/28",1.17444,1.17737,1.16987,1.17163
"3","2020/07/27",1.16401,1.17814,1.16401,1.17505
"3","2020/07/24",1.15912,1.16579,1.15811,1.16525
"3","2020/07/23",1.15626,1.16267,1.15402,1.15959
"3","2020/07/22",1.15266,1.16012,1.15067,1.15689
"3","2020/07/21",1.14397,1.15397,1.14225,1.15221
"3","2020/07/20",1.14145,1.14678,1.14020,1.14478
"3","2020/07/17",1.13766,1.14437,1.13744,1.14346
"3","2020/07/16",1.14051,1.14418,1.13704,1.13831
"3","2020/07/15",1.13957,1.14520,1.13910,1.14119
"3","2020/07/14",1.13397,1.14086,1.13252,1.13976
"3","2020/07/13",1.13000,1.13749,1.12994,1.13413
"3","2020/07/10",1.12785,1.13250,1.12547,1.12994
"3","2020/07/09",1.13252,1.13706,1.12800,1.12831
"3","2020/07/08",1.12669,1.13516,1.12623,1.13307
"3","2020/07/07",1.13046,1.13325,1.12588,1.1272
"3","2020/07/06",1.12401,1.13455,1.12377,1.13081
"3","2020/07/03",1.12311,1.12504,1.12191,1.12483
"3","2020/07/02",1.12498,1.13027,1.12233,1.12394
"3","2020/07/01",1.12292,1.12751,1.11849,1.12511
"3","2020/06/30",1.12318,1.12618,1.11909,1.12338
"3","2020/06/29",1.12190,1.12878,1.12147,1.12413
"3","2020/06/26",1.12114,1.12394,1.11951,1.12204
